mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.969,0.012,0.973,0.0026,1,1,0.1,poly
0.968,0.011,0.972,0.0041,1,1,1,linear
0.876,0.039,1.0,0.012,1,1,1,rbf
0.968,0.011,0.972,0.0041,1,1,1,poly
0.968,0.011,0.972,0.0041,1,1,10,linear
0.69,0.047,1.0,0.0115,1,1,10,rbf
0.966,0.021,0.974,0.018,1,1,10,poly
0.968,0.011,0.972,0.0041,1,1,100,linear
0.69,0.047,1.0,0.0106,1,1,100,rbf
0.966,0.021,0.974,0.2322,1,1,100,poly
0.968,0.011,0.972,0.0068,1,2,0.1,linear
0.959,0.048,0.994,0.0113,1,2,0.1,rbf
0.96,0.031,0.987,0.0069,1,2,0.1,poly
0.968,0.011,0.972,0.004,1,2,1,linear
0.876,0.039,1.0,0.0118,1,2,1,rbf
0.925,0.05,0.999,0.078,1,2,1,poly
0.968,0.011,0.972,0.0054,1,2,10,linear
0.69,0.047,1.0,0.0112,1,2,10,rbf
0.928,0.054,1.0,0.1438,1,2,10,poly
0.968,0.011,0.972,0.004,1,2,100,linear
0.69,0.047,1.0,0.0105,1,2,100,rbf
0.928,0.054,1.0,0.0976,1,2,100,poly
0.968,0.011,0.972,0.0042,1,3,0.1,linear
0.959,0.048,0.994,0.0065,1,3,0.1,rbf
0.944,0.041,1.0,0.0208,1,3,0.1,poly
0.968,0.011,0.972,0.0039,1,3,1,linear
0.876,0.039,1.0,0.012,1,3,1,rbf
0.944,0.041,1.0,0.0197,1,3,1,poly
0.968,0.011,0.972,0.004,1,3,10,linear
0.69,0.047,1.0,0.0113,1,3,10,rbf
0.944,0.041,1.0,0.0221,1,3,10,poly
0.968,0.011,0.972,0.004,1,3,100,linear
0.69,0.047,1.0,0.0105,1,3,100,rbf
0.944,0.041,1.0,0.0196,1,3,100,poly
0.968,0.011,0.972,0.004,1,4,0.1,linear
0.959,0.048,0.994,0.0066,1,4,0.1,rbf
0.943,0.025,1.0,0.0152,1,4,0.1,poly
0.968,0.011,0.972,0.0041,1,4,1,linear
0.876,0.039,1.0,0.0122,1,4,1,rbf
0.943,0.025,1.0,0.015,1,4,1,poly
0.968,0.011,0.972,0.004,1,4,10,linear
0.69,0.047,1.0,0.0111,1,4,10,rbf
0.943,0.025,1.0,0.0147,1,4,10,poly
0.968,0.011,0.972,0.0041,1,4,100,linear
0.69,0.047,1.0,0.0106,1,4,100,rbf
0.943,0.025,1.0,0.0136,1,4,100,poly
0.968,0.011,0.972,0.0039,1,5,0.1,linear
0.959,0.048,0.994,0.0075,1,5,0.1,rbf
0.94,0.022,1.0,0.0111,1,5,0.1,poly
0.968,0.011,0.972,0.004,1,5,1,linear
0.876,0.039,1.0,0.0124,1,5,1,rbf
0.94,0.022,1.0,0.012,1,5,1,poly
0.968,0.011,0.972,0.004,1,5,10,linear
0.69,0.047,1.0,0.0111,1,5,10,rbf
0.94,0.022,1.0,0.0123,1,5,10,poly
0.968,0.011,0.972,0.004,1,5,100,linear
0.69,0.047,1.0,0.0105,1,5,100,rbf
0.94,0.022,1.0,0.0098,1,5,100,poly
0.968,0.011,0.972,0.004,1,6,0.1,linear
0.959,0.048,0.994,0.0066,1,6,0.1,rbf
0.94,0.034,1.0,0.0155,1,6,0.1,poly
0.968,0.011,0.972,0.0039,1,6,1,linear
0.876,0.039,1.0,0.0121,1,6,1,rbf
0.94,0.034,1.0,0.0121,1,6,1,poly
0.968,0.011,0.972,0.004,1,6,10,linear
0.69,0.047,1.0,0.011,1,6,10,rbf
0.94,0.034,1.0,0.0137,1,6,10,poly
0.968,0.011,0.972,0.0039,1,6,100,linear
0.69,0.047,1.0,0.0105,1,6,100,rbf
0.94,0.034,1.0,0.0116,1,6,100,poly
0.966,0.021,0.974,0.0205,10,0,0.1,linear
0.96,0.044,1.0,0.0066,10,0,0.1,rbf
0.65,0.003,0.65,0.0045,10,0,0.1,poly
0.966,0.021,0.974,0.0188,10,0,1,linear
0.884,0.039,1.0,0.0126,10,0,1,rbf
0.65,0.003,0.65,0.0047,10,0,1,poly
0.966,0.021,0.974,0.0187,10,0,10,linear
0.69,0.047,1.0,0.0111,10,0,10,rbf
0.65,0.003,0.65,0.0059,10,0,10,poly
0.966,0.021,0.974,0.0199,10,0,100,linear
0.69,0.047,1.0,0.0108,10,0,100,rbf
0.65,0.003,0.65,0.0045,10,0,100,poly
0.966,0.021,0.974,0.0189,10,1,0.1,linear
0.96,0.044,1.0,0.0067,10,1,0.1,rbf
0.968,0.011,0.972,0.0041,10,1,0.1,poly
0.966,0.021,0.974,0.0196,10,1,1,linear
0.884,0.039,1.0,0.0122,10,1,1,rbf
0.966,0.021,0.974,0.0195,10,1,1,poly
0.966,0.021,0.974,0.0215,10,1,10,linear
0.69,0.047,1.0,0.0109,10,1,10,rbf
0.966,0.021,0.974,0.2043,10,1,10,poly
0.966,0.021,0.974,0.0188,10,1,100,linear
0.69,0.047,1.0,0.0105,10,1,100,rbf
0.966,0.021,0.974,2.9995,10,1,100,poly
0.966,0.021,0.974,0.0191,10,2,0.1,linear
0.96,0.044,1.0,0.0065,10,2,0.1,rbf
0.937,0.048,0.998,0.0411,10,2,0.1,poly
0.966,0.021,0.974,0.019,10,2,1,linear
0.884,0.039,1.0,0.0123,10,2,1,rbf
0.928,0.054,1.0,0.1122,10,2,1,poly
0.966,0.021,0.974,0.0187,10,2,10,linear
0.69,0.047,1.0,0.0111,10,2,10,rbf
0.928,0.054,1.0,0.1449,10,2,10,poly
0.966,0.021,0.974,0.0198,10,2,100,linear
0.69,0.047,1.0,0.0105,10,2,100,rbf
0.928,0.054,1.0,0.0897,10,2,100,poly
0.966,0.021,0.974,0.019,10,3,0.1,linear
0.96,0.044,1.0,0.0066,10,3,0.1,rbf
0.944,0.041,1.0,0.0221,10,3,0.1,poly
0.966,0.021,0.974,0.0193,10,3,1,linear
0.884,0.039,1.0,0.0124,10,3,1,rbf
0.944,0.041,1.0,0.0244,10,3,1,poly
0.966,0.021,0.974,0.0192,10,3,10,linear
0.69,0.047,1.0,0.011,10,3,10,rbf
0.944,0.041,1.0,0.0216,10,3,10,poly
0.966,0.021,0.974,0.0197,10,3,100,linear
0.69,0.047,1.0,0.011,10,3,100,rbf
0.944,0.041,1.0,0.0197,10,3,100,poly
0.966,0.021,0.974,0.021,10,4,0.1,linear
0.96,0.044,1.0,0.0076,10,4,0.1,rbf
0.943,0.025,1.0,0.0148,10,4,0.1,poly
0.966,0.021,0.974,0.0188,10,4,1,linear
0.884,0.039,1.0,0.0123,10,4,1,rbf
0.943,0.025,1.0,0.0156,10,4,1,poly
0.966,0.021,0.974,0.0194,10,4,10,linear
0.69,0.047,1.0,0.011,10,4,10,rbf
0.943,0.025,1.0,0.0136,10,4,10,poly
0.966,0.021,0.974,0.0195,10,4,100,linear
0.69,0.047,1.0,0.0107,10,4,100,rbf
0.943,0.025,1.0,0.0136,10,4,100,poly
0.966,0.021,0.974,0.0193,10,5,0.1,linear
0.96,0.044,1.0,0.0067,10,5,0.1,rbf
0.94,0.022,1.0,0.0111,10,5,0.1,poly
0.966,0.021,0.974,0.0193,10,5,1,linear
0.884,0.039,1.0,0.0134,10,5,1,rbf
0.94,0.022,1.0,0.012,10,5,1,poly
0.966,0.021,0.974,0.0194,10,5,10,linear
0.69,0.047,1.0,0.0128,10,5,10,rbf
0.94,0.022,1.0,0.0127,10,5,10,poly
0.966,0.021,0.974,0.02,10,5,100,linear
0.69,0.047,1.0,0.011,10,5,100,rbf
0.94,0.022,1.0,0.0098,10,5,100,poly
0.966,0.021,0.974,0.0192,10,6,0.1,linear
0.96,0.044,1.0,0.0065,10,6,0.1,rbf
0.94,0.034,1.0,0.0156,10,6,0.1,poly
0.966,0.021,0.974,0.0193,10,6,1,linear
0.884,0.039,1.0,0.0121,10,6,1,rbf
0.94,0.034,1.0,0.0129,10,6,1,poly
0.966,0.021,0.974,0.0199,10,6,10,linear
0.69,0.047,1.0,0.0111,10,6,10,rbf
0.94,0.034,1.0,0.0134,10,6,10,poly
0.966,0.021,0.974,0.0197,10,6,100,linear
0.69,0.047,1.0,0.0105,10,6,100,rbf
0.94,0.034,1.0,0.012,10,6,100,poly
0.966,0.021,0.974,0.2372,100,0,0.1,linear
0.96,0.044,1.0,0.0067,100,0,0.1,rbf
0.65,0.003,0.65,0.0045,100,0,0.1,poly
0.966,0.021,0.974,0.2311,100,0,1,linear
0.884,0.039,1.0,0.0124,100,0,1,rbf
0.65,0.003,0.65,0.0045,100,0,1,poly
0.966,0.021,0.974,0.2329,100,0,10,linear
0.69,0.047,1.0,0.0109,100,0,10,rbf
0.65,0.003,0.65,0.0045,100,0,10,poly
0.966,0.021,0.974,0.2322,100,0,100,linear
0.69,0.047,1.0,0.0105,100,0,100,rbf
0.65,0.003,0.65,0.0046,100,0,100,poly
0.966,0.021,0.974,0.232,100,1,0.1,linear
0.96,0.044,1.0,0.0066,100,1,0.1,rbf
0.966,0.021,0.974,0.0215,100,1,0.1,poly
0.966,0.021,0.974,0.2329,100,1,1,linear
0.884,0.039,1.0,0.0122,100,1,1,rbf
0.966,0.021,0.974,0.2379,100,1,1,poly
0.966,0.021,0.974,0.2343,100,1,10,linear
0.69,0.047,1.0,0.011,100,1,10,rbf
0.966,0.021,0.974,1.9562,100,1,10,poly
0.966,0.021,0.974,0.2313,100,1,100,linear
0.69,0.047,1.0,0.0106,100,1,100,rbf
0.966,0.021,0.974,17.5672,100,1,100,poly
0.966,0.021,0.974,0.2752,100,2,0.1,linear
0.96,0.044,1.0,0.0079,100,2,0.1,rbf
0.925,0.05,0.999,0.0915,100,2,0.1,poly
0.966,0.021,0.974,0.2932,100,2,1,linear
0.884,0.039,1.0,0.012,100,2,1,rbf
0.928,0.054,1.0,0.1151,100,2,1,poly
0.966,0.021,0.974,0.2361,100,2,10,linear
0.69,0.047,1.0,0.011,100,2,10,rbf
0.928,0.054,1.0,0.143,100,2,10,poly
0.966,0.021,0.974,0.2339,100,2,100,linear
0.69,0.047,1.0,0.0103,100,2,100,rbf
0.928,0.054,1.0,0.0939,100,2,100,poly
0.966,0.021,0.974,0.2357,100,3,0.1,linear
0.96,0.044,1.0,0.0065,100,3,0.1,rbf
0.944,0.041,1.0,0.0203,100,3,0.1,poly
0.966,0.021,0.974,0.2349,100,3,1,linear
0.884,0.039,1.0,0.0119,100,3,1,rbf
0.944,0.041,1.0,0.0187,100,3,1,poly
0.966,0.021,0.974,0.2329,100,3,10,linear
0.69,0.047,1.0,0.0122,100,3,10,rbf
0.944,0.041,1.0,0.0243,100,3,10,poly
0.966,0.021,0.974,0.2339,100,3,100,linear
0.69,0.047,1.0,0.0103,100,3,100,rbf
0.944,0.041,1.0,0.0193,100,3,100,poly
0.966,0.021,0.974,0.2312,100,4,0.1,linear
0.96,0.044,1.0,0.0065,100,4,0.1,rbf
0.943,0.025,1.0,0.0147,100,4,0.1,poly
0.966,0.021,0.974,0.2341,100,4,1,linear
0.884,0.039,1.0,0.012,100,4,1,rbf
0.943,0.025,1.0,0.0146,100,4,1,poly
0.966,0.021,0.974,0.2403,100,4,10,linear
0.69,0.047,1.0,0.0109,100,4,10,rbf
0.943,0.025,1.0,0.0145,100,4,10,poly
0.966,0.021,0.974,0.2345,100,4,100,linear
0.69,0.047,1.0,0.0103,100,4,100,rbf
0.943,0.025,1.0,0.0138,100,4,100,poly
0.966,0.021,0.974,0.2327,100,5,0.1,linear
0.96,0.044,1.0,0.0065,100,5,0.1,rbf
0.94,0.022,1.0,0.0112,100,5,0.1,poly
0.966,0.021,0.974,0.2304,100,5,1,linear
0.884,0.039,1.0,0.0121,100,5,1,rbf
0.94,0.022,1.0,0.0123,100,5,1,poly
0.966,0.021,0.974,0.2378,100,5,10,linear
0.69,0.047,1.0,0.0109,100,5,10,rbf
0.94,0.022,1.0,0.0126,100,5,10,poly
0.966,0.021,0.974,0.2365,100,5,100,linear
0.69,0.047,1.0,0.0108,100,5,100,rbf
0.94,0.022,1.0,0.0104,100,5,100,poly
0.966,0.021,0.974,0.2308,100,6,0.1,linear
0.96,0.044,1.0,0.0067,100,6,0.1,rbf
0.94,0.034,1.0,0.014,100,6,0.1,poly
0.966,0.021,0.974,0.2312,100,6,1,linear
0.884,0.039,1.0,0.0125,100,6,1,rbf
0.94,0.034,1.0,0.013,100,6,1,poly
0.966,0.021,0.974,0.2312,100,6,10,linear
0.69,0.047,1.0,0.0121,100,6,10,rbf
0.94,0.034,1.0,0.0148,100,6,10,poly
0.966,0.021,0.974,0.2356,100,6,100,linear
0.69,0.047,1.0,0.0104,100,6,100,rbf
0.94,0.034,1.0,0.0125,100,6,100,poly
0.966,0.021,0.974,1.9658,1000,0,0.1,linear
0.96,0.044,1.0,0.0066,1000,0,0.1,rbf
0.65,0.003,0.65,0.0046,1000,0,0.1,poly
0.966,0.021,0.974,1.9707,1000,0,1,linear
0.884,0.039,1.0,0.0124,1000,0,1,rbf
0.65,0.003,0.65,0.0045,1000,0,1,poly
0.966,0.021,0.974,1.9958,1000,0,10,linear
0.69,0.047,1.0,0.0111,1000,0,10,rbf
0.65,0.003,0.65,0.0045,1000,0,10,poly
0.966,0.021,0.974,2.0076,1000,0,100,linear
0.69,0.047,1.0,0.0108,1000,0,100,rbf
0.65,0.003,0.65,0.0046,1000,0,100,poly
0.966,0.021,0.974,2.0153,1000,1,0.1,linear
0.96,0.044,1.0,0.0084,1000,1,0.1,rbf
0.966,0.021,0.974,0.2227,1000,1,0.1,poly
0.966,0.021,0.974,2.0192,1000,1,1,linear
0.884,0.039,1.0,0.0124,1000,1,1,rbf
0.966,0.021,0.974,2.0263,1000,1,1,poly
0.966,0.021,0.974,2.0381,1000,1,10,linear
0.69,0.047,1.0,0.0113,1000,1,10,rbf
0.966,0.021,0.974,18.1421,1000,1,10,poly
0.966,0.021,0.974,2.0976,1000,1,100,linear
0.69,0.047,1.0,0.0119,1000,1,100,rbf
0.966,0.021,0.974,152.0568,1000,1,100,poly
0.966,0.021,0.974,2.1496,1000,2,0.1,linear
0.96,0.044,1.0,0.0074,1000,2,0.1,rbf
0.928,0.054,1.0,0.154,1000,2,0.1,poly
0.966,0.021,0.974,2.3122,1000,2,1,linear
0.884,0.039,1.0,0.0151,1000,2,1,rbf
0.928,0.054,1.0,0.1268,1000,2,1,poly
0.966,0.021,0.974,2.3793,1000,2,10,linear
0.69,0.047,1.0,0.0167,1000,2,10,rbf
0.928,0.054,1.0,0.1851,1000,2,10,poly
0.966,0.021,0.974,2.2892,1000,2,100,linear
0.69,0.047,1.0,0.0118,1000,2,100,rbf
0.928,0.054,1.0,0.1087,1000,2,100,poly
0.966,0.021,0.974,2.326,1000,3,0.1,linear
0.96,0.044,1.0,0.0094,1000,3,0.1,rbf
0.944,0.041,1.0,0.027,1000,3,0.1,poly
0.966,0.021,0.974,2.3013,1000,3,1,linear
0.884,0.039,1.0,0.0214,1000,3,1,rbf
0.944,0.041,1.0,0.0236,1000,3,1,poly
0.966,0.021,0.974,2.4168,1000,3,10,linear
0.69,0.047,1.0,0.0132,1000,3,10,rbf
0.944,0.041,1.0,0.0259,1000,3,10,poly
0.966,0.021,0.974,2.2966,1000,3,100,linear
0.69,0.047,1.0,0.0115,1000,3,100,rbf
0.944,0.041,1.0,0.0213,1000,3,100,poly
0.966,0.021,0.974,2.2047,1000,4,0.1,linear
0.96,0.044,1.0,0.0073,1000,4,0.1,rbf
0.943,0.025,1.0,0.0201,1000,4,0.1,poly
0.966,0.021,0.974,2.3226,1000,4,1,linear
0.884,0.039,1.0,0.0156,1000,4,1,rbf
0.943,0.025,1.0,0.0163,1000,4,1,poly
0.966,0.021,0.974,2.2342,1000,4,10,linear
0.69,0.047,1.0,0.0161,1000,4,10,rbf
0.943,0.025,1.0,0.016,1000,4,10,poly
0.966,0.021,0.974,2.299,1000,4,100,linear
0.69,0.047,1.0,0.0121,1000,4,100,rbf
0.943,0.025,1.0,0.0149,1000,4,100,poly
0.966,0.021,0.974,2.2873,1000,5,0.1,linear
0.96,0.044,1.0,0.0107,1000,5,0.1,rbf
0.94,0.022,1.0,0.0124,1000,5,0.1,poly
0.966,0.021,0.974,2.2243,1000,5,1,linear
0.884,0.039,1.0,0.0179,1000,5,1,rbf
0.94,0.022,1.0,0.014,1000,5,1,poly
0.966,0.021,0.974,2.2751,1000,5,10,linear
0.69,0.047,1.0,0.0139,1000,5,10,rbf
0.94,0.022,1.0,0.0142,1000,5,10,poly
0.966,0.021,0.974,2.2152,1000,5,100,linear
0.69,0.047,1.0,0.0117,1000,5,100,rbf
0.94,0.022,1.0,0.0119,1000,5,100,poly
0.966,0.021,0.974,2.3078,1000,6,0.1,linear
0.96,0.044,1.0,0.0083,1000,6,0.1,rbf
0.94,0.034,1.0,0.0158,1000,6,0.1,poly
0.966,0.021,0.974,2.1443,1000,6,1,linear
0.884,0.039,1.0,0.0132,1000,6,1,rbf
0.94,0.034,1.0,0.0135,1000,6,1,poly
0.966,0.021,0.974,2.2062,1000,6,10,linear
0.69,0.047,1.0,0.0119,1000,6,10,rbf
0.94,0.034,1.0,0.0167,1000,6,10,poly
0.966,0.021,0.974,2.0854,1000,6,100,linear
0.69,0.047,1.0,0.012,1000,6,100,rbf
0.94,0.034,1.0,0.0134,1000,6,100,poly
