mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.893,0.205,0.894,0.8642,tanh,10,"(5, 50)",adaptive,sgd
0.886,0.179,0.898,0.8241,tanh,1,"(5, 50)",adaptive,sgd
0.884,0.115,0.915,0.8506,tanh,1,"(5, 50)",constant,sgd
0.876,0.238,0.885,1.1189,tanh,10,"(5, 100)",adaptive,sgd
0.874,0.402,0.874,0.2325,identity,0.1,"(10, 100)",constant,lbfgs
0.835,0.551,0.828,0.0807,identity,10,"(10, 50)",adaptive,lbfgs
0.659,0.442,0.629,0.1926,identity,0.1,"(5, 50)",invscaling,sgd
0.65,0.007,0.65,0.1231,logistic,0.1,"(5, 50)",constant,sgd
0.65,0.007,0.65,0.3547,logistic,0.1,"(5, 50)",adaptive,sgd
0.65,0.007,0.65,0.2026,logistic,0.1,"(5, 100)",constant,sgd
0.65,0.007,0.65,0.4569,logistic,0.1,"(5, 100)",adaptive,sgd
0.65,0.007,0.65,0.2985,logistic,0.1,"(10, 50)",constant,sgd
0.65,0.007,0.65,0.103,logistic,0.1,"(10, 50)",invscaling,sgd
0.65,0.007,0.65,0.5125,logistic,0.1,"(10, 50)",adaptive,sgd
0.65,0.007,0.65,0.5989,logistic,0.1,"(10, 100)",constant,sgd
0.65,0.007,0.65,0.8774,logistic,0.1,"(10, 100)",adaptive,sgd
0.65,0.007,0.65,0.1789,logistic,1,"(5, 50)",constant,sgd
0.65,0.007,0.65,0.4785,logistic,1,"(5, 50)",adaptive,sgd
0.65,0.007,0.65,0.3648,logistic,1,"(5, 100)",constant,sgd
0.65,0.007,0.65,0.7327,logistic,1,"(5, 100)",adaptive,sgd
0.65,0.007,0.65,0.6666,logistic,1,"(10, 50)",constant,sgd
0.65,0.007,0.65,0.8462,logistic,1,"(10, 50)",adaptive,sgd
0.65,0.007,0.65,1.1041,logistic,1,"(10, 100)",constant,sgd
0.65,0.007,0.65,0.2826,logistic,1,"(10, 100)",invscaling,sgd
0.65,0.007,0.65,1.1147,logistic,1,"(10, 100)",adaptive,sgd
0.65,0.007,0.65,0.7872,logistic,10,"(5, 50)",constant,sgd
0.65,0.007,0.65,0.7897,logistic,10,"(5, 50)",constant,adam
0.65,0.007,0.65,0.8102,logistic,10,"(5, 50)",invscaling,adam
0.65,0.007,0.65,0.8231,logistic,10,"(5, 50)",adaptive,sgd
0.65,0.007,0.65,0.7574,logistic,10,"(5, 50)",adaptive,adam
0.65,0.007,0.65,1.1162,logistic,10,"(5, 100)",constant,sgd
0.65,0.007,0.65,0.977,logistic,10,"(5, 100)",constant,adam
0.65,0.007,0.65,1.4875,logistic,10,"(5, 100)",invscaling,adam
0.65,0.007,0.65,1.1514,logistic,10,"(5, 100)",adaptive,sgd
0.65,0.007,0.65,1.1259,logistic,10,"(5, 100)",adaptive,adam
0.65,0.007,0.65,0.8822,logistic,10,"(10, 50)",constant,sgd
0.65,0.007,0.65,0.8063,logistic,10,"(10, 50)",constant,adam
0.65,0.007,0.65,0.8318,logistic,10,"(10, 50)",invscaling,adam
0.65,0.007,0.65,0.8304,logistic,10,"(10, 50)",adaptive,sgd
0.65,0.007,0.65,0.8157,logistic,10,"(10, 50)",adaptive,adam
0.65,0.007,0.65,1.1645,logistic,10,"(10, 100)",constant,sgd
0.65,0.007,0.65,1.2054,logistic,10,"(10, 100)",constant,adam
0.65,0.007,0.65,1.3807,logistic,10,"(10, 100)",invscaling,adam
0.65,0.007,0.65,1.4387,logistic,10,"(10, 100)",adaptive,sgd
0.65,0.007,0.65,1.3007,logistic,10,"(10, 100)",adaptive,adam
0.646,0.326,0.629,0.4512,tanh,10,"(5, 100)",invscaling,sgd
0.646,0.022,0.629,0.2628,tanh,1,"(10, 50)",invscaling,sgd
0.633,0.415,0.638,0.4741,relu,0.1,"(5, 50)",invscaling,sgd
0.621,0.178,0.62,0.2366,logistic,10,"(10, 50)",invscaling,sgd
0.619,0.182,0.62,0.3487,logistic,0.1,"(10, 100)",invscaling,sgd
0.619,0.182,0.62,0.4279,logistic,10,"(5, 100)",invscaling,sgd
0.603,0.301,0.545,0.4561,tanh,0.1,"(10, 50)",invscaling,sgd
0.596,0.3,0.614,0.1824,tanh,1,"(5, 50)",invscaling,sgd
0.59,0.505,0.575,0.3713,identity,10,"(10, 100)",invscaling,sgd
0.59,0.356,0.611,0.3988,relu,1,"(5, 50)",invscaling,sgd
0.589,0.242,0.59,0.6498,logistic,10,"(10, 100)",invscaling,sgd
0.586,0.342,0.575,1.0286,tanh,10,"(10, 100)",invscaling,sgd
0.586,0.264,0.604,0.3935,tanh,0.1,"(10, 100)",invscaling,sgd
0.584,0.24,0.586,0.407,logistic,0.1,"(5, 100)",invscaling,sgd
0.577,0.265,0.593,0.3426,tanh,1,"(5, 100)",invscaling,sgd
0.561,0.496,0.571,0.661,relu,10,"(10, 50)",invscaling,sgd
0.561,0.406,0.566,0.4894,identity,0.1,"(10, 100)",invscaling,sgd
0.559,0.276,0.56,0.4703,logistic,1,"(5, 100)",invscaling,sgd
0.556,0.353,0.543,0.2885,identity,10,"(10, 50)",invscaling,sgd
0.555,0.507,0.54,0.6006,relu,10,"(5, 50)",invscaling,sgd
0.551,0.268,0.542,0.794,tanh,10,"(10, 50)",invscaling,sgd
0.549,0.446,0.53,0.1253,identity,0.1,"(10, 50)",invscaling,sgd
0.537,0.336,0.54,0.6484,tanh,1,"(10, 100)",invscaling,sgd
0.534,0.431,0.532,0.7393,relu,1,"(10, 50)",invscaling,sgd
0.53,0.387,0.505,0.4902,identity,10,"(5, 100)",invscaling,sgd
0.53,0.294,0.53,0.2671,logistic,10,"(5, 50)",invscaling,sgd
0.523,0.523,0.526,0.2421,identity,0.1,"(5, 100)",invscaling,sgd
0.523,0.286,0.54,0.3979,tanh,0.1,"(5, 100)",invscaling,sgd
0.521,0.258,0.52,0.3844,tanh,0.1,"(5, 50)",invscaling,sgd
0.511,0.366,0.504,0.4873,identity,1,"(10, 100)",invscaling,sgd
0.508,0.297,0.527,0.423,relu,0.1,"(10, 50)",invscaling,sgd
0.499,0.415,0.507,0.4119,identity,1,"(5, 100)",invscaling,sgd
0.499,0.316,0.509,0.2672,logistic,1,"(5, 50)",invscaling,sgd
0.499,0.3,0.499,0.2881,logistic,1,"(10, 50)",invscaling,sgd
0.473,0.362,0.472,0.5121,relu,10,"(10, 100)",invscaling,sgd
0.471,0.295,0.47,0.3864,logistic,0.1,"(5, 50)",invscaling,sgd
0.467,0.268,0.481,0.4073,identity,10,"(5, 50)",invscaling,sgd
0.463,0.375,0.443,0.6138,relu,10,"(5, 100)",invscaling,sgd
0.463,0.322,0.458,0.4031,identity,1,"(10, 50)",invscaling,sgd
0.448,0.336,0.44,0.5933,tanh,10,"(5, 50)",invscaling,sgd
0.444,0.283,0.422,0.5499,relu,1,"(10, 100)",invscaling,sgd
0.419,0.19,0.415,0.276,identity,1,"(5, 50)",invscaling,sgd
0.416,0.328,0.432,0.5841,relu,0.1,"(10, 100)",invscaling,sgd
0.408,0.361,0.406,0.3304,relu,0.1,"(5, 100)",invscaling,sgd
0.366,0.283,0.358,0.443,relu,1,"(5, 100)",invscaling,sgd
,,,,,,,,
,,,,,,,,
,,,0.8368,,,,,
