mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.968,0.039,0.971,0.1308,identity,1,"(5, 50)",adaptive,lbfgs
0.968,0.039,0.97,0.13,identity,0.1,"(5, 50)",constant,lbfgs
0.968,0.036,0.973,1.234,relu,1,"(10, 100)",constant,adam
0.968,0.034,0.97,0.7387,identity,1,"(10, 100)",constant,adam
0.966,0.058,0.971,1.0972,relu,0.1,"(5, 100)",constant,adam
0.966,0.054,0.976,1.0429,relu,0.1,"(10, 100)",adaptive,adam
0.966,0.049,0.973,1.1379,relu,1,"(10, 100)",adaptive,adam
0.966,0.049,0.972,0.8229,relu,1,"(5, 50)",adaptive,adam
0.966,0.047,0.977,1.0925,relu,0.1,"(10, 100)",constant,adam
0.966,0.047,0.964,1.0343,relu,10,"(10, 100)",constant,sgd
0.966,0.045,0.97,1.0075,relu,1,"(5, 100)",adaptive,adam
0.966,0.045,0.969,0.6367,identity,1,"(10, 50)",constant,adam
0.966,0.041,0.963,0.9358,relu,10,"(5, 50)",invscaling,adam
0.966,0.041,0.969,0.7356,identity,0.1,"(5, 100)",constant,adam
0.966,0.039,0.972,0.6246,identity,0.1,"(10, 100)",constant,adam
0.966,0.039,0.97,0.612,identity,1,"(5, 50)",adaptive,adam
0.966,0.037,0.972,0.7742,identity,0.1,"(10, 100)",invscaling,adam
0.966,0.037,0.973,0.6119,logistic,10,"(5, 100)",constant,lbfgs
0.966,0.037,0.973,0.5192,logistic,10,"(5, 100)",invscaling,lbfgs
0.966,0.037,0.973,0.3089,logistic,10,"(5, 50)",constant,lbfgs
0.966,0.037,0.973,0.2932,logistic,10,"(5, 50)",adaptive,lbfgs
0.966,0.037,0.973,0.2826,logistic,10,"(5, 50)",invscaling,lbfgs
0.966,0.029,0.971,0.6281,identity,0.1,"(10, 50)",invscaling,adam
0.965,0.056,0.974,0.8725,relu,0.1,"(5, 50)",adaptive,adam
0.965,0.051,0.971,0.7971,relu,1,"(5, 50)",constant,adam
0.965,0.051,0.987,0.4935,relu,1,"(5, 100)",adaptive,lbfgs
0.965,0.049,0.972,1.0157,relu,1,"(10, 50)",adaptive,adam
0.965,0.049,0.966,0.9452,logistic,0.1,"(10, 50)",constant,adam
0.965,0.047,0.97,1.0379,relu,0.1,"(5, 100)",invscaling,adam
0.965,0.045,0.972,1.0101,relu,0.1,"(5, 100)",adaptive,adam
0.965,0.045,0.969,0.9478,relu,1,"(5, 100)",constant,adam
0.965,0.045,0.97,0.7275,identity,1,"(10, 50)",invscaling,adam
0.965,0.045,0.971,0.5644,identity,0.1,"(5, 50)",constant,adam
0.965,0.041,0.971,0.9567,relu,1,"(5, 100)",invscaling,adam
0.965,0.041,0.968,0.7512,identity,1,"(5, 100)",invscaling,adam
0.965,0.041,0.97,0.672,identity,0.1,"(10, 50)",constant,adam
0.965,0.041,0.97,0.6034,identity,0.1,"(5, 50)",adaptive,adam
0.965,0.037,0.971,0.9613,relu,1,"(10, 50)",invscaling,adam
0.965,0.023,0.989,0.8504,tanh,0.1,"(5, 100)",constant,lbfgs
0.963,0.07,0.987,0.3653,relu,1,"(5, 50)",invscaling,lbfgs
0.963,0.063,0.997,0.6565,relu,1,"(10, 100)",adaptive,lbfgs
0.963,0.054,0.965,0.9332,relu,10,"(10, 50)",constant,sgd
0.963,0.054,0.963,0.9238,tanh,10,"(10, 50)",adaptive,adam
0.963,0.054,0.969,0.7532,identity,1,"(10, 100)",adaptive,adam
0.963,0.054,0.97,0.6105,identity,1,"(5, 50)",constant,adam
0.963,0.054,0.962,0.5267,identity,10,"(5, 50)",adaptive,sgd
0.963,0.053,0.965,0.5318,identity,0.1,"(10, 50)",adaptive,sgd
0.963,0.051,0.97,0.6307,identity,1,"(10, 50)",adaptive,adam
0.963,0.051,0.98,0.2517,relu,0.1,"(5, 50)",adaptive,lbfgs
0.963,0.049,0.964,0.6275,identity,10,"(10, 50)",invscaling,adam
0.963,0.047,0.965,1.011,relu,10,"(10, 50)",invscaling,adam
0.963,0.047,0.97,0.7772,identity,1,"(10, 100)",invscaling,adam
0.963,0.045,0.968,0.5938,identity,1,"(5, 50)",invscaling,adam
0.963,0.044,0.987,0.4866,tanh,0.1,"(5, 50)",adaptive,lbfgs
0.963,0.042,0.97,0.7355,identity,0.1,"(5, 100)",adaptive,adam
0.963,0.042,0.97,0.5784,identity,0.1,"(5, 50)",invscaling,adam
0.963,0.042,0.991,0.4751,logistic,0.1,"(5, 50)",constant,lbfgs
0.963,0.041,0.974,1.3375,relu,1,"(10, 100)",invscaling,adam
0.962,0.06,0.963,0.8757,relu,10,"(10, 50)",adaptive,sgd
0.962,0.057,0.964,0.7054,identity,10,"(5, 100)",adaptive,adam
0.962,0.056,0.963,0.9164,relu,10,"(5, 50)",constant,sgd
0.962,0.055,0.965,1.1378,relu,10,"(10, 100)",constant,adam
0.962,0.055,0.964,1.1278,relu,10,"(10, 100)",adaptive,adam
0.962,0.055,0.964,0.6138,identity,10,"(5, 50)",invscaling,adam
0.962,0.052,0.965,1.1447,relu,10,"(10, 100)",invscaling,adam
0.962,0.052,0.963,0.6447,identity,10,"(5, 100)",constant,sgd
0.962,0.051,0.964,0.9541,relu,10,"(5, 50)",constant,adam
0.962,0.051,0.963,0.9401,tanh,10,"(10, 50)",constant,adam
0.962,0.047,0.963,1.2295,tanh,10,"(10, 100)",constant,adam
0.962,0.047,0.977,1.1251,relu,0.1,"(10, 100)",invscaling,adam
0.962,0.047,0.964,1.0614,relu,0.1,"(10, 100)",constant,sgd
0.962,0.047,0.975,0.8816,relu,0.1,"(10, 50)",adaptive,adam
0.962,0.047,0.969,0.7463,identity,1,"(5, 100)",adaptive,adam
0.962,0.044,0.966,1.2688,logistic,0.1,"(10, 100)",invscaling,adam
0.962,0.042,0.972,0.9391,tanh,1,"(10, 50)",invscaling,adam
0.96,0.073,0.965,0.4275,relu,10,"(10, 50)",constant,lbfgs
0.96,0.064,0.965,1.1256,relu,10,"(10, 50)",constant,adam
0.96,0.064,0.985,0.5087,relu,0.1,"(5, 100)",constant,lbfgs
0.96,0.061,0.963,0.7731,identity,10,"(10, 100)",constant,adam
0.96,0.058,0.964,0.7697,identity,10,"(10, 100)",adaptive,adam
0.96,0.058,0.963,0.6847,identity,10,"(10, 100)",constant,sgd
0.96,0.057,0.964,0.913,relu,10,"(10, 50)",adaptive,adam
0.96,0.057,0.965,0.6777,identity,1,"(10, 100)",adaptive,sgd
0.96,0.057,0.963,0.6429,identity,10,"(5, 100)",adaptive,sgd
0.96,0.057,0.963,0.6421,identity,10,"(10, 50)",adaptive,adam
0.96,0.057,0.966,0.5775,identity,1,"(10, 50)",constant,sgd
0.96,0.055,0.965,1.1207,relu,10,"(10, 100)",adaptive,sgd
0.96,0.052,0.964,1.0439,relu,10,"(5, 100)",adaptive,sgd
0.96,0.052,0.965,0.9971,relu,10,"(5, 100)",constant,sgd
0.96,0.052,0.964,0.7786,identity,10,"(10, 100)",invscaling,adam
0.96,0.052,0.963,0.7021,identity,10,"(5, 100)",constant,adam
0.96,0.052,0.964,0.6775,identity,0.1,"(5, 100)",constant,sgd
0.96,0.052,0.962,0.6284,identity,10,"(5, 50)",adaptive,adam
0.96,0.05,0.968,0.8344,relu,1,"(5, 50)",invscaling,adam
0.96,0.049,0.969,0.6507,identity,0.1,"(10, 100)",adaptive,sgd
0.96,0.047,0.972,0.8336,relu,0.1,"(5, 50)",constant,adam
0.96,0.047,0.963,0.5394,identity,1,"(5, 50)",constant,sgd
0.96,0.045,0.977,0.8595,relu,0.1,"(10, 50)",constant,adam
0.96,0.045,0.986,0.8402,tanh,0.1,"(5, 100)",adaptive,lbfgs
0.96,0.044,0.968,0.9113,logistic,0.1,"(10, 50)",adaptive,adam
0.96,0.037,0.989,0.8179,logistic,0.1,"(5, 100)",adaptive,lbfgs
0.96,0.03,0.971,1.2368,tanh,1,"(10, 100)",constant,adam
0.959,0.075,0.995,0.437,relu,1,"(10, 50)",adaptive,lbfgs
