mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.968,0.011,0.972,0.0039,1,1,0.1,linear
0.959,0.048,0.994,0.0067,1,1,0.1,rbf
0.969,0.012,0.973,0.0027,1,1,0.1,poly
0.968,0.011,0.972,0.0039,1,1,1,linear
0.876,0.039,1.0,0.0119,1,1,1,rbf
0.968,0.011,0.972,0.0041,1,1,1,poly
0.968,0.011,0.972,0.004,1,1,10,linear
0.69,0.047,1.0,0.0112,1,1,10,rbf
0.966,0.021,0.974,0.019,1,1,10,poly
0.968,0.011,0.972,0.004,1,1,100,linear
0.69,0.047,1.0,0.0106,1,1,100,rbf
0.966,0.021,0.974,0.2176,1,1,100,poly
0.968,0.011,0.972,0.004,1,2,0.1,linear
0.959,0.048,0.994,0.0068,1,2,0.1,rbf
0.96,0.031,0.987,0.007,1,2,0.1,poly
0.968,0.011,0.972,0.0041,1,2,1,linear
0.876,0.039,1.0,0.0121,1,2,1,rbf
0.925,0.05,0.999,0.0794,1,2,1,poly
0.968,0.011,0.972,0.004,1,2,10,linear
0.69,0.047,1.0,0.0113,1,2,10,rbf
0.928,0.054,1.0,0.1411,1,2,10,poly
0.968,0.011,0.972,0.004,1,2,100,linear
0.69,0.047,1.0,0.0102,1,2,100,rbf
0.928,0.054,1.0,0.0897,1,2,100,poly
0.968,0.011,0.972,0.0039,1,3,0.1,linear
0.959,0.048,0.994,0.0065,1,3,0.1,rbf
0.944,0.041,1.0,0.0199,1,3,0.1,poly
0.968,0.011,0.972,0.004,1,3,1,linear
0.876,0.039,1.0,0.012,1,3,1,rbf
0.944,0.041,1.0,0.0193,1,3,1,poly
0.968,0.011,0.972,0.0039,1,3,10,linear
0.69,0.047,1.0,0.0109,1,3,10,rbf
0.944,0.041,1.0,0.0211,1,3,10,poly
0.968,0.011,0.972,0.004,1,3,100,linear
0.69,0.047,1.0,0.0105,1,3,100,rbf
0.944,0.041,1.0,0.0208,1,3,100,poly
0.968,0.011,0.972,0.0041,1,4,0.1,linear
0.959,0.048,0.994,0.0064,1,4,0.1,rbf
0.943,0.025,1.0,0.0148,1,4,0.1,poly
0.968,0.011,0.972,0.0041,1,4,1,linear
0.876,0.039,1.0,0.0119,1,4,1,rbf
0.943,0.025,1.0,0.0147,1,4,1,poly
0.968,0.011,0.972,0.0042,1,4,10,linear
0.69,0.047,1.0,0.0111,1,4,10,rbf
0.943,0.025,1.0,0.0139,1,4,10,poly
0.968,0.011,0.972,0.004,1,4,100,linear
0.69,0.047,1.0,0.0107,1,4,100,rbf
0.943,0.025,1.0,0.0134,1,4,100,poly
0.968,0.011,0.972,0.0041,1,5,0.1,linear
0.959,0.048,0.994,0.012,1,5,0.1,rbf
0.94,0.022,1.0,0.0109,1,5,0.1,poly
0.968,0.011,0.972,0.0039,1,5,1,linear
0.876,0.039,1.0,0.0127,1,5,1,rbf
0.94,0.022,1.0,0.0121,1,5,1,poly
0.968,0.011,0.972,0.0039,1,5,10,linear
0.69,0.047,1.0,0.0111,1,5,10,rbf
0.94,0.022,1.0,0.0142,1,5,10,poly
0.968,0.011,0.972,0.004,1,5,100,linear
0.69,0.047,1.0,0.0108,1,5,100,rbf
0.94,0.022,1.0,0.0099,1,5,100,poly
0.968,0.011,0.972,0.004,1,6,0.1,linear
0.959,0.048,0.994,0.0066,1,6,0.1,rbf
0.94,0.034,1.0,0.014,1,6,0.1,poly
0.968,0.011,0.972,0.004,1,6,1,linear
0.876,0.039,1.0,0.0122,1,6,1,rbf
0.94,0.034,1.0,0.0127,1,6,1,poly
0.968,0.011,0.972,0.0043,1,6,10,linear
0.69,0.047,1.0,0.0112,1,6,10,rbf
0.94,0.034,1.0,0.0138,1,6,10,poly
0.968,0.011,0.972,0.0041,1,6,100,linear
0.69,0.047,1.0,0.0105,1,6,100,rbf
0.94,0.034,1.0,0.0118,1,6,100,poly
